pilot_id,filename,sha256,width_px,height_px
P001,P001.jpg,37df2a292d8d69916d2e5d8d9f3e319e28f8b2ad97bc1801306e92bb3d0021b0,1706,1279
P002,P002.jpg,53f62b06f2be1de4869509ce3cd3a706df76f5255f9563a275dc062d164e2f48,4096,3072
P003,P003.jpg,89377793d83ff5b6362804244d8aa1b14c06ac36531bb99da392918bf6e5b888,1706,1280
P004,P004.jpg,56ab71a170b627e9b8ca397d5bcd205e51c60ebdf0ff4db7aa6a432c5935cfcc,1080,1920
P005,P005.jpg,7190ed9720335318d3e185ed8544b2612bd7cf14e22d9e0306a2a26e4a4109d1,834,626
P006,P006.jpg,bedca0d7c7c4a71bf821d3b26de270f4e34c34258129b173a19d57a2fde185cb,4032,3024
P007,P007.jpg,424a19f6f17f4af1f35b21c60b60e7825a22c5e829f7098f7541327b664416ce,2275,1279
P008,P008.jpg,09aeb8a99b2b079b3a93f011fe8036c12ae1918c1ed323efbc137f5ecf64ff10,810,1440
P009,P009.jpg,666d3732b7e627ca84d6fe42ec0140c47b0439042130f9df2b83fb3c8f238ff5,1080,1174
P010,P010.jpg,115a0c3313c91f55dc5aee38bfab40c568d92f7446aecd67f4ada2a60db0e3d4,1706,1278
P011,P011.jpg,113d445b0515b9837a699ace97bcbd57cfe57c82f64b94dcdefffc6172f7a2ea,3072,4096
P012,P012.jpg,83618d68f9ea8fa2b3b659f95b70cf27cd2f0916baca5e24b5d532a77597cb7f,1080,781
P013,P013.jpg,0dd7f6a869653582034e91b346b0474d364d6026ec6313a69bc06ccd66e0b453,1706,1280
P014,P014.jpg,53161e6c97023059bdf9ca7249081c0b6602e1db72c9a87092ffd85582f4754f,1920,1080
P015,P015.jpg,84dd07f4e20435dd0bf4285276d2dd412bd3689894d3d7970ae02621201b6dbe,465,339
P016,P016.jpg,00ab8678c491ee2d62bffc270ae48665b1c71ed6498aa5929347eee24ce7daac,1920,1080
P017,P017.jpg,a1fc165fd37bff4d245ac8b689e9ebf61555045162956c61c4eb9a878cdabe12,1706,1279
P018,P018.jpg,f57a54818be00c608f2deb18b710ec36b04cf1a6a8bf7d9857e208e612f7206b,800,487
P019,P019.jpg,e82d3b5f73515f51e4981c7f1ffd177a26c32b0e41e90b89f5f8d26654a41188,4096,3072
P020,P020.jpg,32f2766a8804fed56000c02c81fc812a59fc68027a5ecc97997d3e2e2898c31c,4096,3072
